Book-Title,Book-Author,num_ratings,avg_ratings,Image-URL-M
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,428,5.852803738317757,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,387,5.8242894056847545,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,278,5.737410071942446,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,347,5.501440922190202,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,556,5.183453237410072,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,281,5.00711743772242,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,368,4.948369565217392,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,575,4.895652173913043,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,260,4.880769230769231,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
To Kill a Mockingbird,Harper Lee,510,4.7,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
The Da Vinci Code,Dan Brown,898,4.642538975501114,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
The Five People You Meet in Heaven,Mitch Albom,430,4.551162790697674,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
The Catcher in the Rye,J.D. Salinger,449,4.5456570155902005,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,Alice Sebold,1295,4.468725868725869,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
1984,George Orwell,284,4.454225352112676,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
Prodigal Summer: A Novel,Barbara Kingsolver,253,4.450592885375494,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg
Neverwhere,Neil Gaiman,265,4.449056603773585,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
The Secret Life of Bees,Sue Monk Kidd,774,4.447028423772609,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,283,4.3568904593639575,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,493,4.354969574036511,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),Anita Diamant,723,4.334716459197787,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,268,4.3283582089552235,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,335,4.28955223880597,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
Into the Wild,Jon Krakauer,252,4.273809523809524,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg
Fahrenheit 451,Ray Bradbury,409,4.264058679706602,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
Girl with a Pearl Earring,Tracy Chevalier,526,4.218631178707224,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
Outlander,DIANA GABALDON,283,4.173144876325089,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,585,4.105982905982906,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
Seabiscuit: An American Legend,LAURA HILLENBRAND,275,4.098181818181819,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
Life of Pi,Yann Martel,664,4.088855421686747,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
The Bean Trees,Barbara Kingsolver,389,4.087403598971722,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,265,4.086792452830188,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg
ANGELA'S ASHES,Frank McCourt,279,4.075268817204301,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg
Good in Bed,Jennifer Weiner,490,4.055102040816327,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,321,4.037383177570093,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg
American Gods,Neil Gaiman,302,4.006622516556291,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg
Skipping Christmas,JOHN GRISHAM,322,4.0062111801242235,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,318,4.00314465408805,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,336,4.0,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
The Color Purple,Alice Walker,314,3.964968152866242,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
Silence of the Lambs,Thomas Harris,256,3.9609375,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
About a Boy,Nick Hornby,262,3.900763358778626,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),Janet Evanovich,278,3.8884892086330933,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,266,3.8759398496240602,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,269,3.825278810408922,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,457,3.8205689277899344,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
Lord of the Flies,William Gerald Golding,259,3.8185328185328187,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,John Irving,413,3.7966101694915255,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,301,3.777408637873754,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,356,3.7724719101123596,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg
